analysis,term,estimate,robust_se,n_rows,n_subjects
complete,intercept,-2.814411263395690366,0.6879747733451689884,236,59
complete,treat,0.050310692208717603,0.2434673265304865275,236,59
complete,period,-0.042805256831496462,0.0590589570088055904,236,59
complete,lbase1,1.266425088867202398,0.1555984603653105813,236,59
complete,age,0.020288849441195224,0.0096988178652783752,236,59
complete,treat_period,-0.031471866905314991,0.0684483076309370941,236,59
available_case,intercept,-2.891879857182340974,0.7030950820077412899,207,59
available_case,treat,0.087815162410718031,0.2485723602858697645,207,59
available_case,period,-0.030278693371363418,0.0678361154304458758,207,59
available_case,lbase1,1.278091451535850798,0.1605680434752266295,207,59
available_case,age,0.020443921170193658,0.0093250582572290044,207,59
available_case,treat_period,-0.053316867225232281,0.0809878936059709731,207,59
